,temperature_celsius,feels_like_celsius,precip_mm,humidity,cloud,pressure_mb,wind_kph,uv_index,visibility_km,air_quality_PM2.5,air_quality_PM10
temperature_celsius,1.0,0.9803013069953673,0.034111636334694655,-0.3401616616717308,-0.12222351570784255,-0.4248866315368654,0.129840390921881,0.48478227035631083,0.10441602216549337,0.06349247277153483,0.11404169581554566
feels_like_celsius,0.9803013069953673,1.0,0.06086844334796958,-0.24331433089560345,-0.06958462668284941,-0.4216578291480961,0.10401321819196188,0.43474375331330534,0.11788877472758012,0.04680524909137321,0.08565323815156686
precip_mm,0.034111636334694655,0.06086844334796958,1.0,0.16769389567126514,0.21741317937915378,-0.12364646275496094,0.013515913486183044,-0.049927394200410584,-0.03386127452405382,-0.05167945133704968,-0.04265893531801779
humidity,-0.3401616616717308,-0.24331433089560345,0.16769389567126514,1.0,0.5032255248476926,0.010375072906146797,-0.10474550803887184,-0.5489649445346795,-0.106353590807308,-0.22072362657484243,-0.24307385114419522
cloud,-0.12222351570784255,-0.06958462668284941,0.21741317937915378,0.5032255248476926,1.0,-0.10687408245845402,0.03764724131950789,-0.19051808103504575,-0.049673767201398364,-0.17434860769214067,-0.1504295347129785
pressure_mb,-0.4248866315368654,-0.4216578291480961,-0.12364646275496094,0.010375072906146797,-0.10687408245845402,1.0,-0.18024695085788817,-0.1016304873977753,-0.015373228687526703,0.0030739078433317346,-0.03544622906399546
wind_kph,0.129840390921881,0.10401321819196188,0.013515913486183044,-0.10474550803887184,0.03764724131950789,-0.18024695085788817,1.0,0.07087456602960596,0.12411560045902913,-0.046123357949524775,0.08157734825344612
uv_index,0.48478227035631083,0.43474375331330534,-0.049927394200410584,-0.5489649445346795,-0.19051808103504575,-0.1016304873977753,0.07087456602960596,1.0,0.02879512474565733,0.07157455687365157,0.1163825264518998
visibility_km,0.10441602216549337,0.11788877472758012,-0.03386127452405382,-0.106353590807308,-0.049673767201398364,-0.015373228687526703,0.12411560045902913,0.02879512474565733,1.0,-0.1180728508658166,-0.052398608552117115
air_quality_PM2.5,0.06349247277153483,0.04680524909137321,-0.05167945133704968,-0.22072362657484243,-0.17434860769214067,0.0030739078433317346,-0.046123357949524775,0.07157455687365157,-0.1180728508658166,1.0,0.6533010409959041
air_quality_PM10,0.11404169581554566,0.08565323815156686,-0.04265893531801779,-0.24307385114419522,-0.1504295347129785,-0.03544622906399546,0.08157734825344612,0.1163825264518998,-0.052398608552117115,0.6533010409959041,1.0
